Modo: all | tamanho: normal | concorrencia: 2
Leitura em streaming: ativa (sem fetchAll e sem carregar JSON bruto).

[464] baixada  Curie, Emergent Intelligence | 0.36 MB/s
[465] baixada  Curie, Emergent Intelligence | 0.36 MB/s
[466] baixada  Curie, Emergent Intelligence | 0.36 MB/s
[467] baixada  Curie, Emergent Intelligence | 0.36 MB/s
[468] baixada  Darkwater Catacombs | 0.37 MB/s
[469] baixada  Darkwater Catacombs | 0.37 MB/s
[470] baixada  Darkwater Catacombs | 0.37 MB/s
[471] baixada  Darkwater Catacombs | 0.37 MB/s
[472] baixada  Deadly Dispute | 0.37 MB/s
[473] baixada  Deadly Dispute | 0.37 MB/s
[474] baixada  Desdemona, Freedom's Edge | 0.37 MB/s
[475] baixada  Desdemona, Freedom's Edge | 0.37 MB/s
[476] baixada  Desdemona, Freedom's Edge | 0.37 MB/s
[477] baixada  Desdemona, Freedom's Edge | 0.37 MB/s
[478] baixada  Desolate Mire | 0.37 MB/s
[479] baixada  Desolate Mire | 0.37 MB/s
[480] baixada  Desolate Mire | 0.37 MB/s
[481] baixada  Desolate Mire | 0.37 MB/s
[482] baixada  Diamond City | 0.37 MB/s
[483] baixada  Diamond City | 0.37 MB/s
[484] baixada  Diamond City | 0.37 MB/s
[485] baixada  Diamond City | 0.37 MB/s
[486] baixada  Dispatch | 0.37 MB/s
[487] baixada  Dispatch | 0.37 MB/s
[488] baixada  Dogmeat, Ever Loyal | 0.37 MB/s
[489] baixada  Dogmeat, Ever Loyal | 0.37 MB/s
[490] baixada  Dogmeat, Ever Loyal | 0.37 MB/s
[491] baixada  Dogmeat, Ever Loyal | 0.37 MB/s
[492] baixada  Dogmeat, Ever Loyal | 0.37 MB/s
[493] baixada  Dr. Madison Li | 0.37 MB/s
[494] baixada  Dr. Madison Li | 0.37 MB/s
[495] baixada  Dr. Madison Li | 0.37 MB/s
[496] baixada  Dr. Madison Li | 0.37 MB/s
[497] baixada  Dr. Madison Li | 0.37 MB/s
[498] baixada  Dragonskull Summit | 0.37 MB/s
[499] baixada  Dragonskull Summit | 0.37 MB/s
[500] baixada  Dragonskull Summit | 0.37 MB/s
[501] baixada  Dragonskull Summit | 0.37 MB/s
[502] baixada  Drowned Catacomb | 0.37 MB/s
[503] baixada  Drowned Catacomb | 0.37 MB/s
[504] baixada  Drowned Catacomb | 0.37 MB/s
[505] baixada  Drowned Catacomb | 0.37 MB/s
